id,slug,title,cruiseLineName,shipName,destination,departurePortName,arrivalPortName,durationNights,fromPriceUSD,ratingOverall,reviewCount
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-2-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-2-night-7n-western-caribbean-cruise","2-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",2,484,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-3-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-3-night-7n-western-caribbean-cruise","3-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",3,701,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-4-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-4-night-7n-western-caribbean-cruise","4-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",4,918,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-5-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-5-night-7n-western-caribbean-cruise","5-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",5,1133,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-7-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-7-night-7n-western-caribbean-cruise","7-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",7,1568,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-10-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-10-night-7n-western-caribbean-cruise","10-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",10,2218,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-12-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-12-night-7n-western-caribbean-cruise","12-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",12,2653,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-14-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-14-night-7n-western-caribbean-cruise","14-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",14,3087,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-21-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-21-night-7n-western-caribbean-cruise","21-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",21,4605,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-30-NIGHT-7N-WESTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-30-night-7n-western-caribbean-cruise","30-Night Western Caribbean Fun & Sun","Royal Caribbean International","Icon of the Seas","Caribbean","PortMiami","PortMiami",30,6557,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-2-NIGHT-7N-EASTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-2-night-7n-eastern-caribbean-cruise","2-Night Eastern Caribbean Escape","Royal Caribbean International","Icon of the Seas","Caribbean","Port Everglades","Port Everglades",2,484,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-3-NIGHT-7N-EASTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-3-night-7n-eastern-caribbean-cruise","3-Night Eastern Caribbean Escape","Royal Caribbean International","Icon of the Seas","Caribbean","Port Everglades","Port Everglades",3,701,4.4,30
"PKG-CRUISE-ROYAL-CARIBBEAN-ICON-OF-THE-SEAS-4-NIGHT-7N-EASTERN-CARIBBEAN-CRUISE","royal-caribbean-icon-of-the-seas-4-night-7n-eastern-caribbean-cruise","4-Night Eastern Caribbean Escape","Royal Caribbean International","Icon of the Seas","Caribbean","Port Everglades","Port Everglades",4,918,4.4,30
